player,player_link,mp_per_g,trb_per_g,pts_per_g,ast_per_g
Jordan Nwora,https://www.basketball-reference.com/players/n/nworajo01.html,26.3,6.0,13.9,1.0
CJ Elleby,https://www.basketball-reference.com/players/e/ellebcj01.html,32.2,7.5,16.6,2.4
Nico Mannion,https://www.basketball-reference.com/players/m/mannini01.html,32.3,2.5,14.0,5.3
Isaiah Joe,https://www.basketball-reference.com/players/j/joeis01.html,32.7,3.4,15.2,1.7
Skylar Mays,https://www.basketball-reference.com/players/m/mayssk01.html,30.5,3.6,12.4,2.9
Justinian Jessup,https://www.basketball-reference.com/players/j/jessuju01.html,31.2,4.1,12.3,2.0
Cassius Winston,https://www.basketball-reference.com/players/w/winstca01.html,28.8,2.7,14.2,6.4
Cassius Stanley,https://www.basketball-reference.com/players/s/stanlca01.html,27.4,4.9,12.6,1.0
Grant Riller,https://www.basketball-reference.com/players/r/rillegr01.html,32.3,3.3,18.7,2.8
Reggie Perry,https://www.basketball-reference.com/players/p/perryre01.html,27.3,8.6,13.4,1.4
Paul Reed,https://www.basketball-reference.com/players/r/reedpa01.html,23.2,7.5,10.6,1.0
Jalen Harris,https://www.basketball-reference.com/players/h/harrija01.html,27.7,4.8,16.4,2.7
Sam Merrill,https://www.basketball-reference.com/players/m/merrisa01.html,33.3,3.6,16.8,3.6
Cade Cunningham,https://www.basketball-reference.com/players/c/cunnica01.html,35.4,6.2,20.1,3.5
Evan Mobley,https://www.basketball-reference.com/players/m/mobleev01.html,33.9,8.7,16.4,2.4
Scottie Barnes,https://www.basketball-reference.com/players/b/barnesc01.html,24.8,4.0,10.3,4.1
Jalen Suggs,https://www.basketball-reference.com/players/s/suggsja01.html,28.9,5.3,14.4,4.5
Franz Wagner,https://www.basketball-reference.com/players/w/wagnefr01.html,31.2,6.1,12.0,2.0
Davion Mitchell,https://www.basketball-reference.com/players/m/mitchda01.html,27.1,2.1,9.0,3.6
Ziaire Williams,https://www.basketball-reference.com/players/w/willizi02.html,27.9,4.6,10.7,2.2
James Bouknight,https://www.basketball-reference.com/players/b/bouknja01.html,27.9,4.7,15.0,1.5
Joshua Primo,https://www.basketball-reference.com/players/p/primojo01.html,22.5,3.4,8.1,0.8
Chris Duarte,https://www.basketball-reference.com/players/d/duartch01.html,32.0,5.1,14.9,2.1
Moses Moody,https://www.basketball-reference.com/players/m/moodymo01.html,33.8,5.8,16.8,1.6
Corey Kispert,https://www.basketball-reference.com/players/k/kispeco01.html,27.4,4.0,11.6,1.4
Trey Murphy III,https://www.basketball-reference.com/players/m/murphtr02.html,26.4,3.8,11.0,1.0
Tre Mann,https://www.basketball-reference.com/players/m/manntr01.html,24.4,3.6,10.2,1.9
Kai Jones,https://www.basketball-reference.com/players/j/joneska01.html,19.7,4.0,6.2,0.5
Jalen Johnson,https://www.basketball-reference.com/players/j/johnsja05.html,21.4,6.1,11.2,2.2
Keon Johnson,https://www.basketball-reference.com/players/j/johnske07.html,25.5,3.5,11.3,2.5
Isaiah Jackson,https://www.basketball-reference.com/players/j/jacksis01.html,20.8,6.6,8.4,0.7
Josh Christopher,https://www.basketball-reference.com/players/c/chrisjo01.html,29.7,4.7,14.3,1.4
Quentin Grimes,https://www.basketball-reference.com/players/g/grimequ01.html,29.3,3.9,12.5,2.2
Bones Hyland,https://www.basketball-reference.com/players/h/hylanbo01.html,25.5,3.3,13.6,1.9
Cam Thomas,https://www.basketball-reference.com/players/t/thomaca02.html,34.0,3.4,23.0,1.4
Jaden Springer,https://www.basketball-reference.com/players/s/sprinja01.html,25.9,3.5,12.5,2.9
Day'Ron Sharpe,https://www.basketball-reference.com/players/s/sharpda01.html,19.2,7.6,9.5,1.4
Santi Aldama,https://www.basketball-reference.com/players/a/aldamsa01.html,33.3,9.2,19.0,2.2
Jeremiah Robinson-Earl,https://www.basketball-reference.com/players/r/robinje02.html,33.5,9.0,12.8,2.1
Jason Preston,https://www.basketball-reference.com/players/p/prestja01.html,34.1,5.6,12.6,5.9
Herbert Jones,https://www.basketball-reference.com/players/j/joneshe01.html,23.8,4.9,7.3,2.2
Miles McBride,https://www.basketball-reference.com/players/m/mcbrimi01.html,28.0,3.1,12.6,3.3
JT Thor,https://www.basketball-reference.com/players/t/thorjt01.html,23.0,5.0,9.4,0.9
Ayo Dosunmu,https://www.basketball-reference.com/players/d/dosunay01.html,33.2,4.8,16.7,3.9
Neemias Queta,https://www.basketball-reference.com/players/q/quetane01.html,28.0,9.0,13.2,2.0
Jared Butler,https://www.basketball-reference.com/players/b/butleja02.html,29.1,3.2,14.1,3.5
Joe Wieskamp,https://www.basketball-reference.com/players/w/wieskjo01.html,29.7,5.8,13.2,1.5
Isaiah Livers,https://www.basketball-reference.com/players/l/liveris01.html,23.4,3.8,8.3,0.9
Greg Brown III,https://www.basketball-reference.com/players/b/browngr01.html,20.6,6.2,9.3,0.4
Kessler Edwards,https://www.basketball-reference.com/players/e/edwarke02.html,31.6,6.5,13.3,1.2
